time,date,group,obs,action,actor1,actor2,actor3,recipient1,recipient2,recipient3,context,response,agg_supp,intromission,pe,ejaculation,thrust_number,prox_10m_af,prox_10m_ef,prox_10m_all
8:34:31,3/17/2023,1,CC,M,M146,,,FUN,,,NA,NA,No Value,NA,PE,NA,7,NA,NA,NA
8:42:53,3/17/2023,1,CC,Ag,M027,,,FUN,FUN,,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value
8:43:26,3/17/2023,1,CC,Ag,M027,,,FUN,FUN,,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value
8:48:59,3/17/2023,1,CC,M,M173,,,M242,,,Co-Ag,NA,No Value,NA,PE,NA,4,NA,NA,NA
8:49:27,3/17/2023,1,CC,M,M173,,,M242,,,R,NA,No Value,NA,PE,NA,9,NA,NA,NA
8:53:45,3/17/2023,1,CC,M,M133,,,M173,,,NA,IgnoreRejection,No Value,NA,NA,NA,No Value,No Value,No Value,No Value
8:56:02,3/17/2023,1,CC,M,M198,,,M066,,,R,NA,No Value,NA,PE,Ejac,11,NA,NA,NA
9:01:27,3/17/2023,1,CC,Ag,M066,M162,,M146,M095,M157,NA,NA,AS-RS,NA,NA,NA,No Value,No Value,No Value,No Value
9:04:03,3/17/2023,1,CC,Ag,M143,,,M095,M146,M014,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value
9:09:31,3/17/2023,1,CC,Ag,M174,,,M038,M088,M090,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value
10:01:22,3/17/2023,1,CC,M,M026,,,FUN,,,R,NA,No Value,NA,NA,NA,4,12,0,26
10:16:07,3/17/2023,1,CC,M,M049,,,M146,,,R,NA,No Value,NA,2PE,NA,5,10,0,23
8:33:35,3/18/2023,2,AK,M,MUN,,,FUN,,,NA,NA,No Value,NA,NA,NA,NA,NA,NA,NA
9:12:52,3/18/2023,2,AK,Ag,M114,,,FUN,FUN,,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value
9:14:51,3/18/2023,2,AK,Ag,M200,,,FUN,FUN,,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value
9:30:00,3/18/2023,2,AK,Ag,M225,M210,M211,M245,,,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value
9:37:27,3/18/2023,2,AK,Ag,M001,FUN,,SAMUN,,,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value
9:41:58,3/18/2023,2,AK,Ag,M148,MUN,,M063,,,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value
10:18:43,3/18/2023,2,AK,M,M212,,,FUN,,,CoAg,NA,No Value,NA,NA,NA,1,NA,NA,NA
