session_id,item_id,obs1_action,obs1_actor,obs1_recipient,obs2_action,obs2_actor,obs2_recipient,obs1,obs2,match
7,20,Ag,FUN,MUN,Ag,FUN,MUN,Ag_FUN_MUN,Ag_FUN_MUN,1
7,21,Su,MUN,MUN,Su,MUN,MUN,Su_MUN_MUN,Su_MUN_MUN,1
7,22,Ag,MUN,MUN,Ag,FUN,FUN,Ag_MUN_MUN,Ag_FUN_FUN,0
7,23,Ag,MUN,FUN,none,none,none,Ag_MUN_FUN,none_none_none,0
7,24,Ag,FUN,MUN,Ag,FUN,MUN,Ag_FUN_MUN,Ag_FUN_MUN,1
7,25,Ag,MUN,JVUN,Ag,MUN,FUN,Ag_MUN_JVUN,Ag_MUN_FUN,0
7,26,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
7,27,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
7,28,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
7,29,Ag,MUN,JVUN,Ag,MUN,MUN,Ag_MUN_JVUN,Ag_MUN_MUN,0
7,30,Ag,FUN,MUN,Ag,FUN,MUN,Ag_FUN_MUN,Ag_FUN_MUN,1
7,31,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
7,32,Ag,MUN,JVUN,Ag,MUN,JVUN,Ag_MUN_JVUN,Ag_MUN_JVUN,1
7,33,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
7,34,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
7,35,Ag,FUN,MUN,Ag,FUN,MUN,Ag_FUN_MUN,Ag_FUN_MUN,1
7,36,Ag,MUN,FUN,Ag,MUN,JVUN,Ag_MUN_FUN,Ag_MUN_JVUN,0
7,37,M,MUN,FUN,M,MUN,FUN,M_MUN_FUN,M_MUN_FUN,1
7,38,Ag,MUN,JVUN,Ag,MUN,JVUN,Ag_MUN_JVUN,Ag_MUN_JVUN,1
8,1,Su,MUN,MUN,Su,MUN,MUN,Su_MUN_MUN,Su_MUN_MUN,1
8,2,Su,MUN,MUN,Ag,MUN,MUN,Su_MUN_MUN,Ag_MUN_MUN,0
8,3,Ag,MUN,MUN,Ag,MUN,MUN,Ag_MUN_MUN,Ag_MUN_MUN,1
8,4,Su,MUN,MUN,Ag,MUN,MUN,Su_MUN_MUN,Ag_MUN_MUN,0
8,5,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
8,6,Ag,MUN,FUN,Ag,MUN,FUN,none_none_none,Ag_MUN_FUN,1
8,7,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
8,8,Su,MUN,MUN,Su,MUN,MUN,Su_MUN_MUN,Su_MUN_MUN,1
8,9,Gr,FUN,MUN,Gr,FUN,MUN,Gr_FUN_MUN,Gr_FUN_MUN,1
8,10,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
8,11,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
8,12,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
8,13,M,MUN,FUN,M,MUN,FUN,M_MUN_FUN,M_MUN_FUN,1
8,14,none,none,none,M,MUN,FUN,none_none_none,M_MUN_FUN,0
8,15,Ag,MUN,JVUN,Ag,MUN,FUN,Ag_MUN_JVUN,Ag_MUN_FUN,0
8,16,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
8,17,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
